Model,Accuracy,Train Time (s),Inference Time (s),Per-sample (μs)
Random Forest,0.9989151659796052,2.259401559829712,0.05155467987060547,2.796413531709995
XGBoost,0.9995660663918421,1.8009426593780518,0.02623295783996582,1.4229202560189749
LightGBM,0.9995660663918421,1.8432869911193848,0.08049488067626953,4.366179251262179
Logistic Regression,0.9803102625298329,8.33660364151001,0.007578611373901367,0.4110767722879891
